ORDERVOLUME,CUSTOMER_NAME,ORDERTYPE,WAREHOUSE,CITY,ORDERWEEK
1,HOME DEPOT,CollectOrder,DAL BHI DALLAS IO,DALLAS,2024 01
1,HOME DEPOT,CollectOrder,DAL BHI DALLAS IO,HOUSTON,2024 01
1,HOME DEPOT,CollectOrder,DAL BHI DALLAS IO,TOPEKA,2024 01
3,EDMAR CORPORATION,CollectOrder,ELW BHI ELWOOD IO,COOKEVILLE,2024 01
19,MARSHALLS,CollectOrder,ELW BHI ELWOOD IO,DECATUR,2024 01
21,TJ MAXX,CollectOrder,ELW BHI ELWOOD IO,DECATUR,2024 01
1,HOME DEPOT,CollectOrder,ELW BHI ELWOOD IO,JOLIET,2024 01
1,"MEIJER,  INC.",CollectOrder,ELW BHI ELWOOD IO,LANSING,2024 01
3,"MEIJER, INC.",CollectOrder,ELW BHI ELWOOD IO,LANSING,2024 01
1,"MEIJER,  INC.",CollectOrder,ELW BHI ELWOOD IO,NEWPORT,2024 01
1,"MEIJER,  INC.",CollectOrder,ELW BHI ELWOOD IO,PLEASANT PRAIRIE,2024 01
1,"MEIJER,  INC.",CollectOrder,ELW BHI ELWOOD IO,TIPP CITY,2024 01
1,"MEIJER, INC.",CollectOrder,ELW BHI ELWOOD IO,TIPP CITY,2024 01
3,MARSHALLS,CollectOrder,ELW BHI ELWOOD IO,WOBURN,2024 01
1,TJ MAXX,CollectOrder,ELW BHI ELWOOD IO,WOBURN,2024 01
1,COSTCO WHOLESALE,CollectOrder,LAX BHI LOS ANGELES IO,AURORA,2024 01
3,COSTCO WHOLESALE,CollectOrder,LAX BHI LOS ANGELES IO,MIRA LOMA,2024 01
1,HOME DEPOT,CollectOrder,LAX BHI LOS ANGELES IO,ONTARIO,2024 01
3,LOWE'S COMPANIES INC.,CollectOrder,LAX BHI LOS ANGELES IO,PERRIS,2024 01
1,HOME DEPOT,CollectOrder,LAX BHI LOS ANGELES IO,REDLANDS,2024 01
3,LOWE'S COMPANIES INC.,CollectOrder,LAX BHI LOS ANGELES IO,SPARKS,2024 01
1,COSTCO WHOLESALE,CollectOrder,LAX BHI LOS ANGELES IO,TOLLESON,2024 01
1,HOME DEPOT,CollectOrder,LAX BHI LOS ANGELES IO,TOLLESON,2024 01
1,HOME DEPOT,CollectOrder,LAX BHI LOS ANGELES IO,TRACY,2024 01
1,ESSENDANT,CollectOrder,PHA BHI PHARR IO,CAROL STREAM,2024 01
1,ESSENDANT,CollectOrder,PHA BHI PHARR IO,COLUMBUS,2024 01
2,GLOBAL MERCHANDISE,CollectOrder,PHA BHI PHARR IO,COMMERCE,2024 01
1,ESSENDANT,CollectOrder,PHA BHI PHARR IO,CRANBURY,2024 01
1,ESSENDANT,CollectOrder,PHA BHI PHARR IO,DENVER,2024 01
1,ESSENDANT,CollectOrder,PHA BHI PHARR IO,EAGAN,2024 01
1,TACONY CORPORATION-AP DEPARTMENT,CollectOrder,PHA BHI PHARR IO,FORT WORTH,2024 01
1,ESSENDANT,CollectOrder,PHA BHI PHARR IO,GREENVILLE,2024 01
1,ESSENDANT,CollectOrder,PHA BHI PHARR IO,HANOVER,2024 01
1,ESSENDANT,CollectOrder,PHA BHI PHARR IO,HOUSTON,2024 01
1,ESSENDANT,CollectOrder,PHA BHI PHARR IO,IRVING,2024 01
1,ESSENDANT,CollectOrder,PHA BHI PHARR IO,LA VERGNE,2024 01
1,ESSENDANT,CollectOrder,PHA BHI PHARR IO,LITHIA SPRINGS,2024 01
4,W W GRAINGER INC,CollectOrder,PHA BHI PHARR IO,MACEDONIA,2024 01
1,ESSENDANT,CollectOrder,PHA BHI PHARR IO,ORLANDO,2024 01
1,W W GRAINGER INC,CollectOrder,PHA BHI PHARR IO,PATTERSON,2024 01
1,ESSENDANT,CollectOrder,PHA BHI PHARR IO,PERRIS,2024 01
1,ESSENDANT,CollectOrder,PHA BHI PHARR IO,PHOENIX,2024 01
1,ESSENDANT,CollectOrder,PHA BHI PHARR IO,PHOENIXVILLE,2024 01
1,W W GRAINGER INC,CollectOrder,PHA BHI PHARR IO,ROANOKE,2024 01
1,ESSENDANT,CollectOrder,PHA BHI PHARR IO,SACRAMENTO,2024 01
1,ESSENDANT,CollectOrder,PHA BHI PHARR IO,SUWANEE,2024 01
1,ESSENDANT,CollectOrder,PHA BHI PHARR IO,TWINSBURG,2024 01
1,ESSENDANT,CollectOrder,PHA BHI PHARR IO,W COXSACKIE,2024 01
1,ESSENDANT,CollectOrder,PHA BHI PHARR IO,WOBURN,2024 01
1,GLOBAL MERCHANDISE,CollectOrder,PHA BHI PHARR IO,YORK,2024 01
1,LOWE'S COMPANIES INC.,CollectOrder,RVA BHI R VIRGINIA IO,ADAIRSVILLE,2024 01
1,HOME DEPOT,CollectOrder,RVA BHI R VIRGINIA IO,BREINIGSVILLE,2024 01
1,COSTCO WHOLESALE,CollectOrder,RVA BHI R VIRGINIA IO,BROOKSHIRE,2024 01
2,COSTCO WHOLESALE,CollectOrder,RVA BHI R VIRGINIA IO,COLLEGE PARK,2024 01
1,COSTCO WHOLESALE,CollectOrder,RVA BHI R VIRGINIA IO,DALLAS,2024 01
1,LOWE'S COMPANIES INC.,CollectOrder,RVA BHI R VIRGINIA IO,DENTON,2024 01
1,LOWE'S COMPANIES INC.,CollectOrder,RVA BHI R VIRGINIA IO,FINDLAY,2024 01
1,LOWE'S COMPANIES INC.,CollectOrder,RVA BHI R VIRGINIA IO,GARYSBURG,2024 01
1,LOWE'S COMPANIES INC.,CollectOrder,RVA BHI R VIRGINIA IO,KISSIMMEE,2024 01
1,"MEIJER, INC.",CollectOrder,RVA BHI R VIRGINIA IO,LANSING,2024 01
1,LOWE'S COMPANIES INC.,CollectOrder,RVA BHI R VIRGINIA IO,MINERSVILLE,2024 01
1,HOME DEPOT,CollectOrder,RVA BHI R VIRGINIA IO,MONROE,2024 01
1,COSTCO WHOLESALE,CollectOrder,RVA BHI R VIRGINIA IO,MORRIS,2024 01
1,LOWE'S COMPANIES INC.,CollectOrder,RVA BHI R VIRGINIA IO,MOUNT VERNON,2024 01
1,LOWE'S COMPANIES INC.,CollectOrder,RVA BHI R VIRGINIA IO,NORTH VERNON,2024 01
1,COSTCO WHOLESALE,CollectOrder,RVA BHI R VIRGINIA IO,OWATONNA,2024 01
1,LOWE'S COMPANIES INC.,CollectOrder,RVA BHI R VIRGINIA IO,PITTSTON,2024 01
1,HOME DEPOT,CollectOrder,RVA BHI R VIRGINIA IO,PITTSTON TOWNSHIP,2024 01
1,LOWE'S COMPANIES INC.,CollectOrder,RVA BHI R VIRGINIA IO,PLAINFIELD,2024 01
2,LOWE'S COMPANIES INC.,CollectOrder,RVA BHI R VIRGINIA IO,PLEASANT VIEW,2024 01
1,LOWE'S COMPANIES INC.,CollectOrder,RVA BHI R VIRGINIA IO,ROCKFORD,2024 01
1,LOWE'S COMPANIES INC.,CollectOrder,RVA BHI R VIRGINIA IO,SHIPPENSBURG,2024 01
2,LOWE'S COMPANIES INC.,CollectOrder,RVA BHI R VIRGINIA IO,STATESVILLE,2024 01
1,"MEIJER, INC.",CollectOrder,RVA BHI R VIRGINIA IO,TIPP CITY,2024 01
1,LOWE'S COMPANIES INC.,CollectOrder,RVA BHI R VIRGINIA IO,VALDOSTA,2024 01
1,HOME DEPOT,CollectOrder,RVA BHI R VIRGINIA IO,VAN BUREN,2024 01
1,HOME DEPOT,CollectOrder,RVA BHI R VIRGINIA IO,WESTFIELD,2024 01
1,HOME DEPOT,CollectOrder,RVA BHI R VIRGINIA IO,WINCHESTER,2024 01
1,HOME DEPOT,CollectOrder,SEA BHI SEATTLE IO,SALEM,2024 01
