SOURCE_CITY,SOURCE_STATE,SOURCE_COUNTRY,DEST_CITY,DEST_STATE,DEST_COUNTRY,TMODE,COST_PER_LB,COST_PER_MILE,COST_PER_CUFT,SHP_COUNT,MODE_PREFERENCE
DELTA,BC,CA,ABBOTSFORD,BC,CA,LTL,0.1,0.52,0.85,1,Preferred Mode
DELTA,BC,CA,ACHESON,AB,CA,TL,12,7.05,439.04,3,Preferred Mode
DELTA,BC,CA,BRAMPTON,ON,CA,TL,3.73,1.86,39.74,2,Preferred Mode
DELTA,BC,CA,BURNABY,BC,CA,LTL,0.1,1.58,0.85,2,Preferred Mode
DELTA,BC,CA,CALGARY,AB,CA,LTL,0.09,0.04,0.82,7,Least Preferred Mode
DELTA,BC,CA,CALGARY,AB,CA,TL,2.1,6.89,26.17,180,Preferred Mode
DELTA,BC,CA,CAMPBELL RIVER,BC,CA,LTL,0.1,0.15,0.85,1,Preferred Mode
DELTA,BC,CA,CAMROSE,AB,CA,LTL,0.1,0.03,0.85,1,Preferred Mode
DELTA,BC,CA,COLD LAKE,AB,CA,LTL,0.1,0.03,0.85,1,Preferred Mode
DELTA,BC,CA,COQUITLAM,BC,CA,LTL,0.1,0.98,0.85,1,Preferred Mode
DELTA,BC,CA,CORNWALL,ON,CA,TL,24.33,5.18,253.64,11,Preferred Mode
DELTA,BC,CA,COURTENAY,BC,CA,LTL,0.1,0.18,0.85,1,Preferred Mode
DELTA,BC,CA,DELTA,BC,CA,LTL,0.1,0.98,0.85,1,Preferred Mode
DELTA,BC,CA,DELTA,BC,CA,TL,16.08,200,500,1,Preferred Mode
DELTA,BC,CA,DUNCAN,BC,CA,LTL,0.1,0.27,0.85,1,Preferred Mode
DELTA,BC,CA,EDMONTON,AB,CA,LTL,0.1,0.03,0.85,8,Preferred Mode
DELTA,BC,CA,FORT MCMURRAY,AB,CA,LTL,0.1,0.02,0.85,1,Preferred Mode
DELTA,BC,CA,FORT ST. JOHN,BC,CA,LTL,0.1,0.03,0.85,1,Preferred Mode
DELTA,BC,CA,KELOWNA,BC,CA,LTL,0.1,0.1,0.85,1,Preferred Mode
DELTA,BC,CA,LANGLEY,BC,CA,LTL,0.1,1.19,0.85,1,Preferred Mode
DELTA,BC,CA,LETHBRIDGE,AB,CA,LTL,0.1,0.03,0.85,1,Preferred Mode
DELTA,BC,CA,LLOYDMINSTER,AB,CA,LTL,0.1,0.03,0.85,1,Preferred Mode
DELTA,BC,CA,MAPLE RIDGE,BC,CA,LTL,0.1,0.79,0.85,1,Preferred Mode
DELTA,BC,CA,MEDICINE HAT,AB,CA,LTL,0.1,0.03,0.85,1,Preferred Mode
DELTA,BC,CA,MISSISSAUGA,ON,CA,TL,22.01,5.71,338.83,18,Preferred Mode
DELTA,BC,CA,N. VANCOUVER,BC,CA,LTL,0.1,0.96,0.85,1,Preferred Mode
DELTA,BC,CA,NANAIMO,BC,CA,LTL,0.1,0.34,0.85,1,Preferred Mode
DELTA,BC,CA,NEW WESTMINSTER,BC,CA,TL,19.27,232.62,194.99,4,Preferred Mode
DELTA,BC,CA,NISKU,AB,CA,TL,23.63,6.48,320.69,3,Preferred Mode
DELTA,BC,CA,OKOTOKS,AB,CA,LTL,0.1,0.04,0.85,1,Preferred Mode
