SOURCE CITY,DESTINATION CITY,ORDER TYPE,ORDER MONTH,ORDER VOLUME,LANE_ID
ELWOOD,ABINGDON,Prepaid,2024 06,1,ELWOOD_ABINGDON_Prepaid
ELWOOD,ABINGDON,Prepaid,2024 09,1,ELWOOD_ABINGDON_Prepaid
ELWOOD,ABINGDON,Prepaid,2024 10,1,ELWOOD_ABINGDON_Prepaid
ELWOOD,ALACHUA,Prepaid,2024 05,2,ELWOOD_ALACHUA_Prepaid
ELWOOD,ALACHUA,Prepaid,2024 07,1,ELWOOD_ALACHUA_Prepaid
ELWOOD,ALACHUA,Prepaid,2024 08,4,ELWOOD_ALACHUA_Prepaid
ELWOOD,ALACHUA,Prepaid,2024 09,1,ELWOOD_ALACHUA_Prepaid
ELWOOD,ALACHUA,Prepaid,2024 11,1,ELWOOD_ALACHUA_Prepaid
ELWOOD,ALACHUA,Prepaid,2025 02,1,ELWOOD_ALACHUA_Prepaid
ELWOOD,ALBANY,Prepaid,2024 06,1,ELWOOD_ALBANY_Prepaid
ELWOOD,ALBANY,Prepaid,2024 08,1,ELWOOD_ALBANY_Prepaid
ELWOOD,ALBANY,Prepaid,2025 03,2,ELWOOD_ALBANY_Prepaid
ELWOOD,ALPINE,Prepaid,2025 01,1,ELWOOD_ALPINE_Prepaid
ELWOOD,AMARILLO,Prepaid,2024 10,2,ELWOOD_AMARILLO_Prepaid
ELWOOD,AMARILLO,Prepaid,2025 03,2,ELWOOD_AMARILLO_Prepaid
ELWOOD,AMBRIDGE,Prepaid,2024 09,1,ELWOOD_AMBRIDGE_Prepaid
ELWOOD,AMSTERDAM,Prepaid,2024 05,2,ELWOOD_AMSTERDAM_Prepaid
ELWOOD,AMSTERDAM,Prepaid,2024 06,3,ELWOOD_AMSTERDAM_Prepaid
ELWOOD,AMSTERDAM,Prepaid,2024 07,3,ELWOOD_AMSTERDAM_Prepaid
ELWOOD,AMSTERDAM,Prepaid,2024 08,3,ELWOOD_AMSTERDAM_Prepaid
ELWOOD,AMSTERDAM,Prepaid,2024 09,5,ELWOOD_AMSTERDAM_Prepaid
ELWOOD,AMSTERDAM,Prepaid,2024 10,5,ELWOOD_AMSTERDAM_Prepaid
ELWOOD,AMSTERDAM,Prepaid,2024 11,1,ELWOOD_AMSTERDAM_Prepaid
ELWOOD,AMSTERDAM,Prepaid,2024 12,2,ELWOOD_AMSTERDAM_Prepaid
ELWOOD,AMSTERDAM,Prepaid,2025 01,3,ELWOOD_AMSTERDAM_Prepaid
ELWOOD,AMSTERDAM,Prepaid,2025 02,1,ELWOOD_AMSTERDAM_Prepaid
ELWOOD,AMSTERDAM,Prepaid,2025 03,2,ELWOOD_AMSTERDAM_Prepaid
ELWOOD,AMSTERDAM,Prepaid,2025 04,2,ELWOOD_AMSTERDAM_Prepaid
ELWOOD,AMSTERDAM,Prepaid,2025 05,2,ELWOOD_AMSTERDAM_Prepaid
ELWOOD,ANNAPOLIS,Prepaid,2024 10,1,ELWOOD_ANNAPOLIS_Prepaid
