TENDER_PERF_PERCENTAGE,CARRIER,SOURCE_CITY,DEST_CITY
97,LRGR,REDLANDS,BUCKEYE
98,RBTW,ELWOOD,VILLA RICA
96,RBTW,ELWOOD,REDLANDS
69,RBTW,ELWOOD,SUMNER
66,FDEG,PHARR,HAUPPAUGE
91,ODFL,RICHMOND,LOGAN TOWNSHIP
72,FDEG,PHARR,NEW BERLIN
80,FDEG,PHARR,ROCKWALL
60,LRGR,SUMNER,REDLANDS
58,FDEG,PHARR,BERKLEY
84,RBTW,RICHMOND,N. KINGSTOWN
72,FDEG,PHARR,WEST SACRAMENTO
92,AEQC,RICHMOND,MIDWAY
50,FDEG,PHARR,BURLINGTON
82,RBTW,LANCASTER,CULLMAN
91,AEQC,RICHMOND,MT. CRAWFORD
92,FDEG,PHARR,ORLANDO
98,DNGS,LANCASTER,SANGER
95,AFXN,LANCASTER,OKLAHOMA CITY
94,FXFC,MILTON,ROCKY VIEW COUNTY
82,FDEG,PHARR,FORT COLLINS
73,FDEG,PHARR,ANAHEIM
97,RBTW,LANCASTER,RICHMOND
94,AFXN,SUMNER,AURORA
75,FDEG,PHARR,PENSACOLA
95,ODFL,ELWOOD,ENGLEWOOD
50,RBTW,PHARR,OLIVE BRANCH
50,FDEG,ELWOOD,RAYMOND
88,RBTW,MILTON,NISKU
75,FDEG,PHARR,EL PASO
82,RBTW,RICHMOND,MARCY
95,RBTW,ELWOOD,CANTON
94,RBTW,REDLANDS,PATTERSON
93,ODFL,LANCASTER,TYLER
100,RBTW,GRAND RAPIDS,REDLANDS
99,RBTW,GRAND RAPIDS,RICHMOND
84,FDEG,PHARR,ORANGE
84,BGXP,ELWOOD,LANCASTER
67,RBTW,SUMNER,STOCKTON
50,RBTW,PHARR,TRACY
97,AFXN,RICHMOND,FISHERSVILLE
99,RBTW,RICHMOND,LOGAN TOWNSHIP
80,FDEG,PHARR,GRAND RAPIDS
50,FDEG,PHARR,TORONTO
98,LRGR,REDLANDS,RED BLUFF
100,VDFX,LANCASTER,LANCASTER
50,RBTW,PHARR,HAUPPAUGE
99,ODFL,ELWOOD,SIKESTON
75,RBTW,PHARR,MONTOURSVILLE
50,BNCH,PHARR,PRINCETON
89,LRGR,RICHMOND,DOUGLAS
67,FDEG,PHARR,MIDDLETOWN
100,LRGR,REDLANDS,PORTERVILLE
99,ODFL,REDLANDS,CLACKAMAS
50,BNCH,REDLANDS,SUFFOLK
90,ODFL,RICHMOND,PHOENIX
95,RBTW,LANCASTER,PLAINVIEW
91,ODFL,RICHMOND,CONCORD
96,WALM,MILTON,MISSISSAUGA
86,RBTW,RICHMOND,HAMPTON
79,FDEG,PHARR,TWINSBURG
86,RBTW,LANCASTER,PUEBLO
97,RBTW,REDLANDS,HERMISTON
67,FDEG,PHARR,SAN ANTONIO
95,ODFL,RICHMOND,WINDSOR LOCKS
50,ODFL,RICHMOND,REDLANDS
86,FXFC,MILTON,NEW WESTMINSTER
78,FDEG,PHARR,TULSA
95,RBTW,RICHMOND,WOODLAND
84,RBTW,RICHMOND,PRINCE GEORGE
99,ODFL,ELWOOD,OMAHA
95,ODFL,RICHMOND,NORFOLK
82,FDEG,PHARR,SOLON
98,IQLS,GRAND RAPIDS,REDLANDS
95,RBTW,MILTON,AJAX
99,ODFL,ELWOOD,INWOOD
65,FDEG,PHARR,MOUNT PLEASANT
94,RBTW,REDLANDS,SHAFTER
50,FDEG,PHARR,MANSFIELD
94,BNCH,GRAND RAPIDS,WAYLAND
72,FXFC,MILTON,NANAIMO
95,RBTW,RICHMOND,WINCHESTER
88,FDEG,PHARR,AURORA
75,RBTW,REDLANDS,SALT LAKE CITY
97,FXFC,MILTON,TSAWWASSEN
97,HOSD,ELWOOD,SEYMOUR
86,RBTW,RICHMOND,GROVE CITY
95,AACT,PHARR,HOUSTON
50,RBTW,RICHMOND,ONTARIO
90,AFXN,ELWOOD,SHELBY TOWNSHIP
67,RBTW,RICHMOND,RIVERSIDE
89,LRGR,SUMNER,LOVELAND
25,RBTW,REDLANDS,VILLA RICA
91,RBTW,LANCASTER,MADISON
98,FXFC,MILTON,MISSISSAUGA
50,FDEG,PHARR,RALEIGH
67,FDEG,PHARR,VINELAND
94,BGXP,ELWOOD,RICHMOND
97,AFXN,REDLANDS,RIVERSIDE
93,AACT,PHARR,FLOWER MOUND
