SOURCE_CITY,SOURCE_STATE,SOURCE_COUNTRY,DEST_CITY,DEST_STATE,DEST_COUNTRY,TMODE,CARRIER,SPOT_RATE,DISTANCE,COST_PER_MILE
GRAND RAPIDS,MI,US,DELTA,BC,CA,TL,RBTW,2311.16,2264,1.03
ELWOOD,IL,US,URBANA,IL,US,LTL,ODFL,134,111,1.21
ELWOOD,IL,US,LEXINGTON,SC,US,LTL,ODFL,261.63,794.86,0.33
ELWOOD,IL,US,HOPE MILLS,NC,US,LTL,ODFL,293.07,812.31,0.36
ELWOOD,IL,US,WOODLAND,PA,US,LTL,ODFL,290.68,552,0.53
ELWOOD,IL,US,ZANESVILLE,OH,US,LTL,ODFL,442.53,381,1.21
ELWOOD,IL,US,SEALY,TX,US,LTL,ODFL,423.95,1063.96,0.4
ELWOOD,IL,US,EDGEWATER,FL,US,LTL,ODFL,218.12,1095.82,0.2
ELWOOD,IL,US,MEMPHIS,TN,US,TL,RBTW,1079.71,504,2.16
ELWOOD,IL,US,BEAVER DAM,WI,US,TL,RBTW,654.51,173.29,3.76
ELWOOD,IL,US,LA CROSSE,WI,US,LTL,ODFL,307.09,294.75,1.04
ELWOOD,IL,US,COOKEVILLE,TN,US,LTL,AVRT,1410.37,477.69,2.95
ELWOOD,IL,US,RICHMOND,VA,US,TL,RBTW,2233.6,777,2.87
ELWOOD,IL,US,FISKDALE,MA,US,PARCEL,FDEG,4957.59,926.43,5.4
ELWOOD,IL,US,FULTON,MO,US,LTL,ODFL,442.62,321,1.39
ELWOOD,IL,US,GROVEPORT,OH,US,LTL,ODFL,260.23,339,0.76
ELWOOD,IL,US,EDGERTON,KS,US,TL,RBTW,1413.25,484,2.98
ELWOOD,IL,US,UXBRIDGE,MA,US,LTL,ODFL,438.5,958,0.45
ELWOOD,IL,US,TIPP CITY,OH,US,TL,MEIJ,5000.83,279,17.92
ELWOOD,IL,US,LAKE PARK,GA,US,LTL,EXLA,254.93,918,0.28
ELWOOD,IL,US,UNIVERSITY PARK,IL,US,LTL,ODFL,142.07,36,3.96
ELWOOD,IL,US,AURORA,IL,US,LTL,ODFL,183.73,31,5.96
ELWOOD,IL,US,LOGAN TOWNSHIP,NJ,US,TL,RBTW,2660.05,774,3.31
ELWOOD,IL,US,OCONOMOWOC,WI,US,TL,SCNN,530.67,139,3.83
ELWOOD,IL,US,LEBANON,TN,US,TL,RBTW,1247.56,456,2.74
ELWOOD,IL,US,FORT WAYNE,IN,US,TL,RBTW,734.2,175,4.18
ELWOOD,IL,US,LOCUST GROVE,GA,US,LTL,EXLA,261.29,714,0.37
ELWOOD,IL,US,KERNERSVILLE,NC,US,LTL,ODFL,530.11,697,0.75
ELWOOD,IL,US,ROME,NY,US,LTL,ODFL,152.76,728.13,0.21
ELWOOD,IL,US,HOPKINSVILLE,KY,US,TL,SCNN,1051.15,366,2.87
ELWOOD,IL,US,REDLANDS,CA,US,TL,RBTW,3291.18,1950.61,1.68
ELWOOD,IL,US,SMYRNA,DE,US,LTL,ODFL,262.49,784.64,0.33
ELWOOD,IL,US,ST. JAMES,MO,US,TL,RBTW,1089.25,346,3.16
ELWOOD,IL,US,SPRING VALLEY,IL,US,TL,RBTW,524.61,66,7.87
ELWOOD,IL,US,SHEBOYGAN,WI,US,LTL,ODFL,206.61,179,1.16
ELWOOD,IL,US,PITMAN,NJ,US,LTL,ODFL,130.18,783,0.17
ELWOOD,IL,US,SPARTA,WI,US,LTL,ODFL,128.4,268,0.5
ELWOOD,IL,US,MOUNDRIDGE,KS,US,LTL,ODFL,124.91,641,0.2
ELWOOD,IL,US,WILSON,NC,US,TL,RBTW,2680.03,830,3.13
ELWOOD,IL,US,LEE,MA,US,LTL,ODFL,135.97,861,0.16
ELWOOD,IL,US,WOODLAND,CA,US,LTL,EXLA,541.98,2027,0.27
RICHMOND,VA,US,MIDLOTHIAN,TX,US,LTL,ODFL,302.5,1280,0.24
RICHMOND,VA,US,STATESVILLE,NC,US,TL,BNCH,4988.28,255,19.58
RICHMOND,VA,US,NICHOLS,NY,US,TL,RBTW,1063.68,374,2.83
