TRACKING_MONTH,CARRIER,SOURCE_CITY,SOURCE_STATE,SOURCE_COUNTRY,DEST_CITY,DEST_STATE,DEST_COUNTRY,ORDER_COUNT,AVG_TRANSIT_DAYS,ACTUAL_TRANSIT_DAYS,ONTIME_PERFORMANCE
2025 05,ODFL,RICHMOND,VA,US,WINDSOR,CT,US,73,2,4,16
2025 05,ODFL,RICHMOND,VA,US,DENVER,PA,US,5,1,1,100
2025 05,ODFL,CHICAGO,IL,US,PALM BEACH GARDENS,FL,US,2,3,4,100
2025 05,ODFL,LOSANGELES,CA,US,CHEHALIS,WA,US,62,1,2,88
2025 05,ODFL,RICHMOND,VA,US,JACKSONVILLE,FL,US,98,2,2,73
2025 05,ODFL,RICHMOND,VA,US,CHARLOTTE,NC,US,34,1,2,36
2024 06,ODFL,CHICAGO,IL,US,AMSTERDAM,NY,US,5,2,4,40
2024 06,ODFL,RICHMOND,VA,US,HATTIESBURG,MS,US,6,3,5,34
2024 06,ODFL,LOSANGELES,CA,US,TOPEKA,KS,US,8,3,7,34
2024 07,ODFL,RICHMOND,VA,US,STAUNTON,VA,US,10,1,4,20
2024 07,ODFL,CHICAGO,IL,US,JEFFERSON,GA,US,9,2,5,25
2024 07,RBTW,GRAND RAPIDS,MI,US,FENTON,MO,US,66,1,3,20
2024 06,ODFL,RICHMOND,VA,US,LAKELAND,FL,US,15,2,6,67
2024 08,ODFL,CHICAGO,IL,US,LENEXA,KS,US,12,1,5,50
2024 06,ODFL,CHICAGO,IL,US,TAYLOR,PA,US,5,2,5,40
2024 09,ODFL,LANCASTER,TX,US,WACO,TX,US,4,1,2,75
2024 06,ODFL,CHICAGO,IL,US,PLANO,IL,US,8,1,3,50
2024 08,ODFL,CHICAGO,IL,US,GROVE CITY,OH,US,4,1,2,100
2024 08,ODFL,CHICAGO,IL,US,BENTONVILLE,AR,US,23,2,4,39
2024 07,ODFL,LANCASTER,TX,US,SAN ANTONIO,TX,US,10,1,3,56
2024 08,ODFL,CHICAGO,IL,US,MARCY,NY,US,6,2,4,67
2024 07,ODFL,RICHMOND,VA,US,BOYNTON BEACH,FL,US,5,2,7,100
2024 08,ODFL,CHICAGO,IL,US,SEALY,TX,US,22,2,4,86
2024 08,ODFL,CHICAGO,IL,US,OTTAWA,KS,US,24,2,4,38
2024 08,ODFL,CHICAGO,IL,US,SANGER,TX,US,21,2,4,82
2024 08,ODFL,LOSANGELES,CA,US,CHINO,CA,US,23,1,4,18
2024 08,ODFL,LANCASTER,TX,US,NEWTON,NC,US,3,2,4,34
2024 08,ODFL,LANCASTER,TX,US,TIFTON,GA,US,4,2,4,50
2024 08,ODFL,DALLAS,TX,US,BRANDON,VT,US,5,5,6,60
2024 08,ODFL,LANCASTER,TX,US,SAN ANTONIO,TX,US,13,1,4,30
2024 08,ODFL,RICHMOND,VA,US,TEWKSBURY,MA,US,2,2,7,50
2024 06,ODFL,RICHMOND,VA,US,NICHOLS,NY,US,2,1,5,100
2024 06,ODFL,CHICAGO,IL,US,BROWNSTOWN,MI,US,3,1,2,67
2024 06,ODFL,LANCASTER,TX,US,LONGVIEW,TX,US,1,1,3,100
2024 05,ODFL,CHICAGO,IL,US,EAU CLAIRE,WI,US,2,1,2,100
2024 08,ODFL,LANCASTER,TX,US,LOVELAND,CO,US,2,2,3,100
2024 05,RBTW,LANCASTER,TX,US,SAN ANTONIO,TX,US,1,1,1,100
2024 07,ODFL,SEATTLE,WA,US,FONTANA,CA,US,4,2,7,75
2024 10,RBTW,GRAND RAPIDS,MI,US,FENTON,MO,US,14,1,2,55
2024 10,ODFL,CHICAGO,IL,US,EAU CLAIRE,WI,US,14,1,3,60
2024 09,ODFL,LANCASTER,TX,US,NEWTON,NC,US,4,2,6,25
2024 10,ODFL,LOSANGELES,CA,US,WEST JORDAN,UT,US,24,2,6,24
2024 10,HOSD,GRAND RAPIDS,MI,US,CHICAGO,IL,US,99,4,2,64
2024 10,AFXN,LOSANGELES,CA,US,RIVERSIDE,CA,US,66,2,2,10
2024 10,ODFL,LOSANGELES,CA,US,MERIDIAN,ID,US,6,2,5,100
2024 10,ODFL,LANCASTER,TX,US,SEARCY,AR,US,4,1,6,25
2024 10,ODFL,CHICAGO,IL,US,SEALY,TX,US,4,2,5,50
2024 09,ODFL,LOSANGELES,CA,US,MADISON,AL,US,2,4,5,100
2024 06,ODFL,RICHMOND,VA,US,LA GRANGE,GA,US,4,2,4,50
2024 07,ODFL,LANCASTER,TX,US,BENTONVILLE,AR,US,1,1,1,100
2024 09,ODFL,CHICAGO,IL,US,MEDINA,OH,US,5,1,5,60
2024 07,ODFL,CHICAGO,IL,US,RAYMOND,NH,US,6,2,5,34
2024 07,ODFL,LANCASTER,TX,US,APPLE VALLEY,CA,US,1,2,3,100
2024 07,ODFL,CHICAGO,IL,US,FT PIERCE,FL,US,4,3,4,100
2024 07,ODFL,CHICAGO,IL,US,MT. CRAWFORD,VA,US,4,2,4,50
2024 06,ODFL,LOSANGELES,CA,US,GRANTSVILLE,UT,US,4,2,5,50
2024 07,ODFL,CHICAGO,IL,US,MIDLAND,GA,US,4,2,3,50
2024 07,ODFL,CHICAGO,IL,US,SEALY,TX,US,2,2,6,100
2024 06,ODFL,LANCASTER,TX,US,LUFKIN,TX,US,1,1,3,100
2024 05,ODFL,CHICAGO,IL,US,BROOKHAVEN,MS,US,2,2,4,100
2024 09,RBTW,CHICAGO,IL,US,LOSANGELES,CA,US,6,4,5,34
2024 09,RBTW,RICHMOND,VA,US,NICHOLS,NY,US,5,5,1,34
2024 09,ODFL,CHICAGO,IL,US,WOODLAND,CA,US,2,5,7,100
2024 09,RBTW,LOSANGELES,CA,US,CHICAGO,IL,US,8,2,4,20
2024 09,ODFL,CHICAGO,IL,US,LA CROSSE,WI,US,6,1,3,34
2024 09,ODFL,CHICAGO,IL,US,BLUFFTON,IN,US,10,1,6,80
2024 09,ODFL,CHICAGO,IL,US,CLEVELAND,TN,US,8,2,7,100
2024 09,ODFL,CHICAGO,IL,US,OTTAWA,KS,US,12,2,4,34
2024 09,ODFL,RICHMOND,VA,US,MCLEANSVILLE,NC,US,8,1,7,100
2024 09,ABFS,RICHMOND,VA,US,EDGEWOOD,MD,US,7,2,5,58
2024 09,RBTW,DALLAS,TX,US,RICHMOND,VA,US,2,2,4,50
2024 08,ODFL,CHICAGO,IL,US,MELROSE PARK,IL,US,3,1,2,100
2024 09,ODFL,LOSANGELES,CA,US,SAN BERNARDINO,CA,US,14,0,3,22
2024 09,ABFS,LANCASTER,TX,US,DESOTO,TX,US,4,1,3,34
2024 11,ODFL,RICHMOND,VA,US,ALACHUA,FL,US,10,2,4,20
2024 10,ODFL,LOSANGELES,CA,US,MORENO VALLEY,CA,US,8,1,3,50
2024 10,ODFL,LANCASTER,TX,US,SAN ANTONIO,TX,US,26,1,4,19
2024 11,ODFL,RICHMOND,VA,US,LENEXA,KS,US,6,2,6,50
2024 11,ODFL,CHICAGO,IL,US,PRINCETON,IL,US,4,1,3,50
2024 11,RBTW,RICHMOND,VA,US,POTTSVILLE,PA,US,1,1,3,100
2024 10,RBTW,LOSANGELES,CA,US,FRENCH CAMP,CA,US,1,1,1,100
2024 07,ODFL,SEATTLE,WA,US,RIVERSIDE,CA,US,2,2,5,100
2024 12,ODFL,RICHMOND,VA,US,UXBRIDGE,MA,US,15,2,7,20
2024 12,ODFL,CHICAGO,IL,US,OSWEGO,IL,US,6,1,3,34
2024 09,ODFL,RICHMOND,VA,US,JUPITER,FL,US,4,2,4,100
2024 10,RBTW,RICHMOND,VA,US,FINDLAY,OH,US,3,1,3,100
2024 10,ODFL,RICHMOND,VA,US,STAUNTON,VA,US,4,1,5,50
2024 09,RBTW,RICHMOND,VA,US,LEWISBERRY,PA,US,14,1,3,17
2024 12,ODFL,CHICAGO,IL,US,DACULA,GA,US,6,2,6,100
2025 01,ODFL,LOSANGELES,CA,US,CHEHALIS,WA,US,12,2,7,25
2024 09,ODFL,LANCASTER,TX,US,LONGVIEW,TX,US,2,1,3,100
2024 10,ODFL,CHICAGO,IL,US,MELROSE PARK,IL,US,2,1,2,100
2024 09,ODFL,RICHMOND,VA,US,OCONOMOWOC,WI,US,8,3,6,67
2024 10,ODFL,LOSANGELES,CA,US,TOLLESON,AZ,US,4,1,4,100
2024 10,ODFL,RICHMOND,VA,US,TAYLOR,PA,US,6,1,6,84
2024 10,ODFL,CHICAGO,IL,US,NEWPORT NEWS,VA,US,3,2,9,100
2024 08,RBTW,DALLAS,TX,US,RICHMOND,VA,US,1,2,3,100
2024 07,ODFL,CHICAGO,IL,US,STUARTS DRAFT,VA,US,2,2,2,100
2024 09,ODFL,CHICAGO,IL,US,CHAMBERSBURG,PA,US,2,2,3,100
2024 10,ODFL,RICHMOND,VA,US,TEWKSBURY,MA,US,4,2,7,25
2024 11,ODFL,CHICAGO,IL,US,SANTA ROSA,CA,US,6,5,11,50
2024 11,ODFL,LANCASTER,TX,US,LUGOFF,SC,US,6,2,5,50
2024 10,LRGR,SEATTLE,WA,US,LOSANGELES,CA,US,1,2,1,100
2024 10,ODFL,LOSANGELES,CA,US,MADISON,AL,US,4,4,7,50
2024 09,ODFL,CHICAGO,IL,US,ST. CLOUD,MN,US,2,1,6,100
2024 10,ODFL,LOSANGELES,CA,US,APPLE VALLEY,CA,US,2,1,5,50
2025 02,ODFL,DALLAS,TX,US,ORLANDO,FL,US,12,4,7,17
2025 01,ODFL,CHICAGO,IL,US,LA CROSSE,WI,US,12,1,2,67
2024 12,ODFL,CHICAGO,IL,US,CLEVELAND,TN,US,4,2,8,100
2024 12,RBTW,GRAND RAPIDS,MI,US,FENTON,MO,US,5,1,1,20
2024 09,RBTW,CHICAGO,IL,US,CLINTON,IA,US,2,1,3,100
2024 11,ODFL,LANCASTER,TX,US,MIDWAY,GA,US,4,2,4,100
2024 11,RBTW,RICHMOND,VA,US,STAUNTON,VA,US,3,1,1,100
2024 11,ODFL,CHICAGO,IL,US,BROWNSTOWN,MI,US,2,1,2,50
2024 11,ODFL,LANCASTER,TX,US,OKLAHOMA CITY,OK,US,12,1,4,67
2024 11,ODFL,RICHMOND,VA,US,HATTIESBURG,MS,US,4,3,6,50
2024 10,ODFL,LANCASTER,TX,US,HUTCHINSON,KS,US,3,1,3,100
2024 08,ODFL,LANCASTER,TX,US,STUARTS DRAFT,VA,US,1,2,5,100
2024 08,ODFL,LANCASTER,TX,US,LACEY,WA,US,1,4,7,100
2024 11,ODFL,LOSANGELES,CA,US,RANCHO CUCAMONGA,CA,US,8,1,15,13
2025 01,ODFL,DALLAS,TX,US,CHARLOTTE,NC,US,10,3,6,20
2024 10,ODFL,LANCASTER,TX,US,STUARTS DRAFT,VA,US,2,2,4,100
2025 02,ODFL,LANCASTER,TX,US,BESSEMER,AL,US,4,2,4,100
2025 02,RBTW,RICHMOND,VA,US,NEWTON,NC,US,10,6,1,20
2024 11,ODFL,CHICAGO,IL,US,OTTAWA,KS,US,2,2,5,100
2025 01,ODFL,CHICAGO,IL,US,BENTONVILLE,AR,US,9,2,3,40
2025 02,ODFL,LANCASTER,TX,US,OKLAHOMA CITY,OK,US,4,1,2,100
2025 02,ODFL,LANCASTER,TX,US,TIFTON,GA,US,2,2,4,100
2025 02,ODFL,RICHMOND,VA,US,BURLINGTON,NJ,US,10,1,6,20
2024 12,ODFL,DALLAS,TX,US,MONTGOMERY,NY,US,4,4,8,100
2024 12,ODFL,RICHMOND,VA,US,MCLEANSVILLE,NC,US,6,1,6,100
2025 02,HOSD,GRAND RAPIDS,MI,US,CHICAGO,IL,US,55,4,2,44
2025 02,ODFL,CHICAGO,IL,US,SHELBY,IA,US,10,1,2,80
2024 12,ODFL,CHICAGO,IL,US,BROOKSVILLE,FL,US,2,3,5,100
2024 12,ODFL,CHICAGO,IL,US,SUN PRAIRIE,WI,US,3,1,4,100
2024 12,ODFL,RICHMOND,VA,US,ELLOREE,SC,US,4,1,2,50
2024 12,ODFL,LANCASTER,TX,US,CULLMAN,AL,US,2,2,5,100
2024 11,ODFL,LANCASTER,TX,US,HOPE MILLS,NC,US,2,2,5,100
2024 11,ODFL,LOSANGELES,CA,US,WOODLAND,CA,US,4,1,2,100
2024 11,ODFL,RICHMOND,VA,US,BLACK MOUNTAIN,NC,US,2,1,2,100
2024 11,ODFL,LANCASTER,TX,US,LA GRANGE,GA,US,2,2,4,100
2024 11,ODFL,RICHMOND,VA,US,WILLIAMSTON,SC,US,2,1,4,100
2025 02,ODFL,LANCASTER,TX,US,SAN ANTONIO,TX,US,12,1,3,34
2025 02,ODFL,RICHMOND,VA,US,DUNN,NC,US,2,1,3,50
2024 12,ODFL,RICHMOND,VA,US,MENOMONIE,WI,US,2,3,6,100
2025 02,ODFL,DALLAS,TX,US,MONROE,OH,US,8,3,5,38
2025 01,ODFL,LOSANGELES,CA,US,MORENO VALLEY,CA,US,6,1,2,34
2025 02,ODFL,CHICAGO,IL,US,HOPKINS,MN,US,4,1,4,50
2025 02,ODFL,RICHMOND,VA,US,STAUNTON,VA,US,6,1,2,100
2025 02,ODFL,DALLAS,TX,US,CRANBURY,NJ,US,3,4,6,34
2024 11,ODFL,DALLAS,TX,US,MILLSBORO,DE,US,2,4,3,100
2024 11,ODFL,RICHMOND,VA,US,WELLS,ME,US,2,2,5,100
2025 03,ODFL,CHICAGO,IL,US,LENEXA,KS,US,18,1,2,17
2025 03,HOSD,GRAND RAPIDS,MI,US,CHICAGO,IL,US,126,3,2,60
2025 03,ODFL,LANCASTER,TX,US,SEARCY,AR,US,12,2,4,42
2025 03,ODFL,LANCASTER,TX,US,WILTON,NY,US,2,3,5,100
2025 03,ODFL,CHICAGO,IL,US,PHOENIX,AZ,US,8,3,6,25
2025 03,ODFL,RICHMOND,VA,US,SHELBY,NC,US,8,2,3,67
2025 03,ODFL,CHICAGO,IL,US,KANSAS CITY,KS,US,20,1,4,15
2025 01,ODFL,CHICAGO,IL,US,TOBYHANNA,PA,US,2,2,3,100
2025 02,ODFL,CHICAGO,IL,US,JOLIET,IL,US,7,1,5,29
2025 01,ODFL,LANCASTER,TX,US,WILMER,TX,US,6,1,3,67
2025 03,ODFL,CHICAGO,IL,US,EAU CLAIRE,WI,US,10,2,2,80
2025 03,ODFL,DALLAS,TX,US,CHARLOTTE,NC,US,8,3,7,25
2025 03,RBTW,GRAND RAPIDS,MI,US,LOSANGELES,CA,US,13,6,5,16
2025 03,ODFL,RICHMOND,VA,US,JACKSONVILLE,FL,US,9,3,5,67
2025 03,ODFL,CHICAGO,IL,US,BROWNSTOWN,MI,US,8,2,3,17
2025 01,ODFL,RICHMOND,VA,US,JUPITER,FL,US,5,2,8,40
2025 03,ODFL,CHICAGO,IL,US,URBANA,IL,US,2,2,2,100
2025 03,ODFL,LOSANGELES,CA,US,PUYALLUP,WA,US,9,3,5,100
2025 03,ODFL,LANCASTER,TX,US,CULLMAN,AL,US,2,3,4,100
