CARRIER,SOURCE_CITY,SOURCE_STATE,SOURCE_COUNTRY,DEST_CITY,DEST_STATE,DEST_COUNTRY,ORDER_COUNT,AVG_TRANSIT_DAYS,ACTUAL_TRANSIT_DAYS,ONTIME_PERFORMANCE
ODFL,ELWOOD,IL,US,ABINGDON,VA,US,5,1,4,40
ODFL,ELWOOD,IL,US,ALACHUA,FL,US,16,3,5,63
ODFL,ELWOOD,IL,US,AMSTERDAM,NY,US,45,2,5,40
ODFL,ELWOOD,IL,US,BEAVER DAM,WI,US,6,2,4,40
ODFL,ELWOOD,IL,US,BEDFORD HEIGHTS,OH,US,19,1,4,22
ODFL,ELWOOD,IL,US,BELOIT,WI,US,70,1,4,50
ODFL,ELWOOD,IL,US,BENTONVILLE,AR,US,93,2,4,37
ODFL,ELWOOD,IL,US,BLAIR,NE,US,48,1,3,11
ODFL,ELWOOD,IL,US,BLOOMINGTON,IN,US,9,1,4,23
ODFL,ELWOOD,IL,US,BLUFFTON,IN,US,90,2,7,79
ODFL,ELWOOD,IL,US,BOCA RATON,FL,US,3,3,6,100
ODFL,ELWOOD,IL,US,BOYNTON BEACH,FL,US,2,3,6,100
ODFL,ELWOOD,IL,US,BRIDGETON,MO,US,62,1,3,36
ODFL,ELWOOD,IL,US,BROOKHAVEN,MS,US,19,2,6,74
ODFL,ELWOOD,IL,US,BROOKPARK,OH,US,24,1,7,5
ODFL,ELWOOD,IL,US,BROOKSVILLE,FL,US,33,3,4,88
ODFL,ELWOOD,IL,US,BROWNSTOWN,MI,US,59,2,3,22
ODFL,ELWOOD,IL,US,BYRON CENTER,MI,US,45,1,3,47
ODFL,ELWOOD,IL,US,CEDAR FALLS,IA,US,20,1,3,15
ODFL,ELWOOD,IL,US,CHAMBERSBURG,PA,US,128,2,3,54
ODFL,ELWOOD,IL,US,CHARLOTTE,NC,US,35,3,4,43
ODFL,ELWOOD,IL,US,CHEROKEE,IA,US,41,2,4,5
ODFL,ELWOOD,IL,US,CHIPPEWA FALLS,WI,US,157,1,3,45
RBTW,ELWOOD,IL,US,CHIPPEWA FALLS,WI,US,17,1,2,25
ODFL,ELWOOD,IL,US,CLEVELAND,TN,US,75,3,7,96
ODFL,ELWOOD,IL,US,CLINTON,IA,US,21,1,3,58
RBTW,ELWOOD,IL,US,CLINTON,IA,US,6,5,2,25
ODFL,ELWOOD,IL,US,COLORADO SPRINGS,CO,US,40,3,6,14
ODFL,ELWOOD,IL,US,CULLMAN,AL,US,46,3,4,65
ODFL,ELWOOD,IL,US,CUMMING,IA,US,53,1,2,59
ODFL,ELWOOD,IL,US,DACULA,GA,US,78,3,7,100
ODFL,ELWOOD,IL,US,DAYTON,TX,US,9,3,5,23
ODFL,ELWOOD,IL,US,DORAL,FL,US,58,3,5,4
ODFL,ELWOOD,IL,US,EAU CLAIRE,WI,US,123,2,2,76
ODFL,ELWOOD,IL,US,EDWARDSVILLE,IL,US,190,2,4,39
ABFS,ELWOOD,IL,US,FINDLAY,OH,US,107,2,5,37
ODFL,ELWOOD,IL,US,FRIDLEY,MN,US,55,1,2,97
ODFL,ELWOOD,IL,US,FT PIERCE,FL,US,28,4,6,70
ODFL,ELWOOD,IL,US,FULTON,MO,US,54,2,3,38
RBTW,ELWOOD,IL,US,GALESBURG,MI,US,112,4,3,2
ODFL,ELWOOD,IL,US,GARDEN CITY,MI,US,5,1,4,60
ODFL,ELWOOD,IL,US,GOODLETTSVILLE,TN,US,16,2,9,13
ABFS,ELWOOD,IL,US,GRAIN VALLEY,MO,US,25,2,3,56
ODFL,ELWOOD,IL,US,GRAND RAPIDS,MI,US,87,1,3,3
RBTW,ELWOOD,IL,US,GRAND RAPIDS,MI,US,18,4,3,17
ODFL,ELWOOD,IL,US,GREENFIELD,IN,US,59,2,4,27
ODFL,ELWOOD,IL,US,GROVE CITY,OH,US,43,2,3,90
RBTW,ELWOOD,IL,US,GROVEPORT,OH,US,66,2,2,7
ODFL,ELWOOD,IL,US,HATTIESBURG,MS,US,8,3,4,38
ODFL,ELWOOD,IL,US,HOLIDAY CITY,OH,US,96,2,2,64
ODFL,ELWOOD,IL,US,HOPE MILLS,NC,US,56,3,3,75
ODFL,ELWOOD,IL,US,HOPKINS,MN,US,123,1,3,87
ODFL,ELWOOD,IL,US,HURRICANE,UT,US,117,3,6,3
ODFL,ELWOOD,IL,US,HUTCHINSON,KS,US,6,2,3,50
ODFL,ELWOOD,IL,US,INWOOD,WV,US,68,2,5,9
ODFL,ELWOOD,IL,US,JACKSONVILLE,FL,US,7,2,5,29
ODFL,ELWOOD,IL,US,JANESVILLE,WI,US,188,1,3,8
ODFL,ELWOOD,IL,US,JEFFERSON,GA,US,34,2,5,28
ODFL,ELWOOD,IL,US,JOLIET,IL,US,60,1,7,19
ODFL,ELWOOD,IL,US,JUPITER,FL,US,6,3,5,34
ODFL,ELWOOD,IL,US,KANSAS CITY,KS,US,182,1,4,10
ODFL,ELWOOD,IL,US,KENOSHA,WI,US,15,1,3,100
ODFL,ELWOOD,IL,US,KILGORE,TX,US,74,2,4,8
ODFL,ELWOOD,IL,US,LA CROSSE,WI,US,183,1,2,69
ODFL,ELWOOD,IL,US,LA GRANGE,GA,US,7,2,6,58
RBTW,ELWOOD,IL,US,LACEY,WA,US,6,4,5,60
ODFL,ELWOOD,IL,US,LAGRANGE,GA,US,25,2,2,100
ODFL,ELWOOD,IL,US,LAKELAND,FL,US,30,3,6,25
ODFL,ELWOOD,IL,US,LANSING,MI,US,2,1,5,100
ODFL,ELWOOD,IL,US,LEBANON,IN,US,20,1,4,75
ODFL,ELWOOD,IL,US,LENEXA,KS,US,159,1,4,32
RBTW,ELWOOD,IL,US,LENEXA,KS,US,140,2,2,7
ODFL,ELWOOD,IL,US,LEXINGTON,SC,US,28,2,5,11
ODFL,ELWOOD,IL,US,LOGAN TOWNSHIP,NJ,US,26,2,6,13
ODFL,ELWOOD,IL,US,LOVELAND,CO,US,52,2,4,80
ODFL,ELWOOD,IL,US,LOXLEY,AL,US,14,3,4,43
ODFL,ELWOOD,IL,US,LUGOFF,SC,US,37,2,5,61
ODFL,ELWOOD,IL,US,MADISON,AL,US,107,2,3,68
ODFL,ELWOOD,IL,US,MADISON,WI,US,65,1,3,76
ODFL,ELWOOD,IL,US,MARCY,NY,US,28,2,4,54
ODFL,ELWOOD,IL,US,MAUMELLE,AR,US,16,2,4,15
ODFL,ELWOOD,IL,US,MCLEANSVILLE,NC,US,10,2,6,100
ODFL,ELWOOD,IL,US,MEDINA,OH,US,50,1,4,19
ODFL,ELWOOD,IL,US,MELROSE PARK,IL,US,17,1,4,53
ODFL,ELWOOD,IL,US,MENOMONIE,WI,US,7,1,3,29
ODFL,ELWOOD,IL,US,MESQUITE,NV,US,45,4,6,3
ODFL,ELWOOD,IL,US,MIAMI,FL,US,81,3,7,8
ODFL,ELWOOD,IL,US,MIDLAND,GA,US,19,2,4,22
ODFL,ELWOOD,IL,US,MIDLOTHIAN,TX,US,46,2,3,53
ODFL,ELWOOD,IL,US,MIDWAY,GA,US,38,2,5,52
ODFL,ELWOOD,IL,US,MIDWAY,TN,US,22,1,4,30
ODFL,ELWOOD,IL,US,MILBANK,SD,US,42,2,4,20
ODFL,ELWOOD,IL,US,MOUNT PLEASANT,IA,US,14,2,3,37
ODFL,ELWOOD,IL,US,MOUNT VERNON,IL,US,97,2,3,34
ODFL,ELWOOD,IL,US,MT. CRAWFORD,VA,US,22,2,4,55
ODFL,ELWOOD,IL,US,NEW BRAUNFELS,TX,US,67,2,4,41
ODFL,ELWOOD,IL,US,NEWPORT NEWS,VA,US,16,2,14,22
ODFL,ELWOOD,IL,US,NEWTON,NC,US,78,2,3,54
ODFL,ELWOOD,IL,US,NORFOLK,NE,US,20,1,4,50
ODFL,ELWOOD,IL,US,NORTH CANTON,OH,US,8,1,4,38
ODFL,ELWOOD,IL,US,OCONOMOWOC,WI,US,39,1,4,93
ODFL,ELWOOD,IL,US,OKLAHOMA CITY,OK,US,51,3,5,36
ODFL,ELWOOD,IL,US,OMAHA,NE,US,106,1,4,9
ODFL,ELWOOD,IL,US,OPELOUSAS,LA,US,29,2,4,44
ODFL,ELWOOD,IL,US,OSWEGO,IL,US,63,2,2,17
ODFL,ELWOOD,IL,US,OTTAWA,KS,US,77,2,3,53
ODFL,ELWOOD,IL,US,PALESTINE,TX,US,74,2,4,64
ODFL,ELWOOD,IL,US,PALM BEACH GARDENS,FL,US,2,3,4,100
ODFL,ELWOOD,IL,US,PANAMA CITY,FL,US,3,3,4,100
ODFL,ELWOOD,IL,US,PEOSTA,IA,US,11,1,4,28
ODFL,ELWOOD,IL,US,PERRYSBURG,OH,US,6,1,2,67
ODFL,ELWOOD,IL,US,PHARR,TX,US,9,3,5,34
ODFL,ELWOOD,IL,US,PHOENIX,AZ,US,61,3,6,19
ODFL,ELWOOD,IL,US,PLAINFIELD,IN,US,50,1,5,10
ODFL,ELWOOD,IL,US,PLAINVIEW,TX,US,48,3,5,23
ODFL,ELWOOD,IL,US,PLANO,IL,US,113,2,2,32
ODFL,ELWOOD,IL,US,PLANT CITY,FL,US,16,3,6,19
RBTW,ELWOOD,IL,US,POMPANO BEACH,FL,US,2,2,2,50
ODFL,ELWOOD,IL,US,PORTLAND,TN,US,94,2,4,94
ODFL,ELWOOD,IL,US,PRESCOTT VALLEY,AZ,US,28,4,6,25
ODFL,ELWOOD,IL,US,PRINCETON,IL,US,153,1,3,63
ODFL,ELWOOD,IL,US,PUEBLO,CO,US,16,3,9,38
ODFL,ELWOOD,IL,US,RAYMOND,NH,US,55,3,3,70
ODFL,ELWOOD,IL,US,READING,PA,US,34,2,5,33
RBTW,ELWOOD,IL,US,READING,PA,US,11,1,3,23
RBTW,ELWOOD,IL,US,REDLANDS,CA,US,71,3,5,3
ODFL,ELWOOD,IL,US,RIALTO,CA,US,12,3,8,50
RBTW,ELWOOD,IL,US,RICHMOND,VA,US,188,2,3,4
ODFL,ELWOOD,IL,US,ROANOKE,TX,US,2,2,6,100
ODFL,ELWOOD,IL,US,ROME,NY,US,38,2,5,4
LRGR,ELWOOD,IL,US,ROMEOVILLE,IL,US,119,2,3,2
RBTW,ELWOOD,IL,US,ROMULUS,MI,US,2,1,1,50
ODFL,ELWOOD,IL,US,SAINT CLOUD,MN,US,11,1,1,100
ODFL,ELWOOD,IL,US,SANGER,TX,US,65,2,4,76
ODFL,ELWOOD,IL,US,SANTA ROSA,CA,US,18,5,10,50
ODFL,ELWOOD,IL,US,SCOTTSVILLE,KY,US,32,2,3,47
ODFL,ELWOOD,IL,US,SEALY,TX,US,90,2,3,71
ODFL,ELWOOD,IL,US,SEARCY,AR,US,70,2,3,60
ODFL,ELWOOD,IL,US,SEYMOUR,IN,US,4,1,4,50
ODFL,ELWOOD,IL,US,SHAFTER,CA,US,68,4,4,49
ODFL,ELWOOD,IL,US,SHAKOPEE,MN,US,134,2,3,39
ODFL,ELWOOD,IL,US,SHELBY,IA,US,123,2,3,66
ODFL,ELWOOD,IL,US,SHELBY,NC,US,38,3,5,19
RBTW,ELWOOD,IL,US,SHELBY TOWNSHIP,MI,US,69,3,4,3
ODFL,ELWOOD,IL,US,SIKESTON,MO,US,209,1,5,12
ODFL,ELWOOD,IL,US,SIOUX FALLS,SD,US,47,1,3,52
ODFL,ELWOOD,IL,US,SMYRNA,DE,US,26,2,4,84
ODFL,ELWOOD,IL,US,SPRINGFIELD,IL,US,11,1,1,100
ODFL,ELWOOD,IL,US,ST. CLOUD,MN,US,16,1,5,75
ODFL,ELWOOD,IL,US,ST. JAMES,MO,US,12,1,3,34
ODFL,ELWOOD,IL,US,STUARTS DRAFT,VA,US,110,2,3,62
ODFL,ELWOOD,IL,US,SUN PRAIRIE,WI,US,17,1,3,100
ODFL,ELWOOD,IL,US,SUTHERLAND,VA,US,24,3,5,5
ODFL,ELWOOD,IL,US,TAYLOR,PA,US,10,2,5,40
ODFL,ELWOOD,IL,US,THE COLONY,TX,US,153,2,10,2
ODFL,ELWOOD,IL,US,TIFTON,GA,US,114,2,4,42
ODFL,ELWOOD,IL,US,TOBYHANNA,PA,US,34,2,4,77
ODFL,ELWOOD,IL,US,TOPEKA,KS,US,44,2,3,69
ODFL,ELWOOD,IL,US,TYLER,TX,US,18,2,5,62
ODFL,ELWOOD,IL,US,URBANA,IL,US,42,2,2,96
ODFL,ELWOOD,IL,US,VILLA RICA,GA,US,37,3,4,52
ODFL,ELWOOD,IL,US,WARRENSVILLE HEIGHTS,OH,US,5,1,3,60
ODFL,ELWOOD,IL,US,WEST JEFFERSON,OH,US,117,2,4,17
ODFL,ELWOOD,IL,US,WILLIAMSTON,SC,US,6,2,4,50
ODFL,ELWOOD,IL,US,WILMER,TX,US,20,2,4,20
ODFL,ELWOOD,IL,US,WILTON,NY,US,30,2,7,50
ODFL,ELWOOD,IL,US,WINDSOR,CT,US,6,2,4,34
ODFL,ELWOOD,IL,US,WINDSOR,WI,US,91,2,3,18
ODFL,ELWOOD,IL,US,WOODBURN,OR,US,75,5,8,12
ODFL,ELWOOD,IL,US,WOODLAND,CA,US,12,5,8,34
ODFL,ELWOOD,IL,US,WOODLAND,PA,US,63,2,3,61
RBTW,ELWOOD,IL,US,WURTSBORO,NY,US,6,2,2,34
RBTW,GRAND RAPIDS,MI,US,DELTA,BC,CA,5,9,5,25
HOSD,GRAND RAPIDS,MI,US,ELWOOD,IL,US,1025,4,2,56
RBTW,GRAND RAPIDS,MI,US,FENTON,MO,US,217,1,2,21
